"Hora","dia","consumo_mwh","mes","mes_nombre","fecha","hora_inicio","dia_semana","dia_semana_num","es_fin_semana","es_semana_laboral","es_viernes","estacion","es_ciclo_escolar_activo","es_feriado","tipo_dia","periodo_dia","mes_factor","dia_semana_factor"
"0",30,40.73483232,1,"ENERO",2023-01-30,0,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"0",31,76.7025368765976,1,"ENERO",2023-01-31,0,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"4.1666666666666699E-2",1,74.23142012,1,"ENERO",2023-01-01,4,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,TRUE,"Feriado","Madrugada","ENERO","domingo"
"4.1666666666666699E-2",2,76.3222543897758,1,"ENERO",2023-01-02,4,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"4.1666666666666699E-2",3,76.279395741675,1,"ENERO",2023-01-03,4,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"4.1666666666666699E-2",4,76.3314297222793,1,"ENERO",2023-01-04,4,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"4.1666666666666699E-2",5,76.2104970227109,1,"ENERO",2023-01-05,4,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"4.1666666666666699E-2",6,61.02153769,1,"ENERO",2023-01-06,4,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"4.1666666666666699E-2",7,73.80375135,1,"ENERO",2023-01-07,4,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"4.1666666666666699E-2",8,76.2637912040292,1,"ENERO",2023-01-08,4,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
"4.1666666666666699E-2",9,76.2747074878331,1,"ENERO",2023-01-09,4,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"4.1666666666666699E-2",10,108.81415631,1,"ENERO",2023-01-10,4,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"4.1666666666666699E-2",11,76.3034364757507,1,"ENERO",2023-01-11,4,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"4.1666666666666699E-2",12,33.33090815,1,"ENERO",2023-01-12,4,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"4.1666666666666699E-2",13,33.09404329,1,"ENERO",2023-01-13,4,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"4.1666666666666699E-2",14,33.32008062,1,"ENERO",2023-01-14,4,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"4.1666666666666699E-2",15,12.35077261,1,"ENERO",2023-01-15,4,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
"4.1666666666666699E-2",16,75.74245662,1,"ENERO",2023-01-16,4,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"4.1666666666666699E-2",17,76.7325827098086,1,"ENERO",2023-01-17,4,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"4.1666666666666699E-2",18,77.0129897995876,1,"ENERO",2023-01-18,4,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"4.1666666666666699E-2",19,76.7213423928704,1,"ENERO",2023-01-19,4,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"4.1666666666666699E-2",20,76.7186766023961,1,"ENERO",2023-01-20,4,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"4.1666666666666699E-2",21,76.9388554710803,1,"ENERO",2023-01-21,4,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"4.1666666666666699E-2",22,76.5684330336339,1,"ENERO",2023-01-22,4,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
"4.1666666666666699E-2",23,81.8772165673879,1,"ENERO",2023-01-23,4,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"4.1666666666666699E-2",24,76.9252431038738,1,"ENERO",2023-01-24,4,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"4.1666666666666699E-2",25,76.7918405839085,1,"ENERO",2023-01-25,4,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","miércoles"
"4.1666666666666699E-2",26,76.687275012444,1,"ENERO",2023-01-26,4,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","jueves"
"4.1666666666666699E-2",27,76.8320134960799,1,"ENERO",2023-01-27,4,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Madrugada","ENERO","viernes"
"4.1666666666666699E-2",28,39.86614162,1,"ENERO",2023-01-28,4,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","sábado"
"4.1666666666666699E-2",29,81.6581324086151,1,"ENERO",2023-01-29,4,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Madrugada","ENERO","domingo"
"4.1666666666666699E-2",30,40.73483232,1,"ENERO",2023-01-30,4,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"4.1666666666666699E-2",31,76.7025368765976,1,"ENERO",2023-01-31,4,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
"8.3333333333333301E-2",1,59.07518044,1,"ENERO",2023-01-01,8,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,TRUE,"Feriado","Mañana","ENERO","domingo"
"8.3333333333333301E-2",2,76.3222543897758,1,"ENERO",2023-01-02,8,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","lunes"
"8.3333333333333301E-2",3,76.279395741675,1,"ENERO",2023-01-03,8,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","martes"
